name short_id
COSMOS COS
GAMA-15 G15
XMM-LSS XMM
Bootes BOO
CDFS-SWIRE CDS
ELAIS-N1 EN1
GAMA-12 G12
GAMA-09 G09
Lockman-SWIRE LSW
EGS EGS
ELAIS-S1 ES1
AKARI-NEP AKN
ELAIS-N2 EN2
xFLS FLS
Herschel-Stripe-82 H82
HATLAS-NGP NGP
HATLAS-SGP SGP
AKARI-SEP AKS
SPIRE-NEP SNP
SSDF SDF
HDF-N HDN
SA13 S13
XMM-13hr X13
