el,pp,PBE,PBE+,SCAN,SCAN+
H,H-15Jun2001,-3.3862,-3.4726,-3.4548,-3.5389
Li,Li-17Jan2003,-1.9021,-1.721,-2.3435,-2.2884
Be,Be-06Sep2000,-3.7684,-3.5454,-4.3651,-4.284
B,B-06Sep2000,-6.7048,-6.6455,-7.4603,-7.3141
C,C-08Apr2002,-9.2283,-9.0345,-10.0959,-9.8818
N,N-08Apr2002,-8.326,-8.4464,-9.2835,-9.6241
O,O-08Apr2002,-4.9423,-4.5714,-6.1543,-6.1684
F,F-08Apr2002,-1.8092,-1.4916,-3.4497,-3.5213
Na,Na-08Apr2002,-1.2838,-1.122,-4.1637,-4.1996
Mg,Mg-13Apr2007,-1.523,-1.2353,-4.9802,-4.8717
Al,Al-04Jan2001,-3.7144,-3.5593,-7.7075,-7.6703
Si,Si-05Jan2001,-5.4132,-5.4779,-9.9978,-9.9819
P,P-06Sep2000,-5.3728,-5.2475,-10.392,-10.2218
S,S-06Sep2000,-4.1344,-3.9026,-9.6384,-9.5873
Cl,Cl-06Sep2000,-1.799,-1.5368,-7.8692,-7.9098
K,K_pv-17Jan2003,-1.0556,-0.7419,-8.3339,-8.1994
Ca,Ca_pv-06Sep2000,-1.9041,-1.6588,-9.6132,-9.6312
Sc,Sc-04Feb2005,-6.2095,-5.8185,-14.1421,-14.0799
Ti,Ti-08Apr2002,-7.7715,-7.736,-15.9648,-16.0348
V,V-08Apr2002,-8.9357,-8.9128,-17.3917,-17.657
Cr,Cr-06Sep2000,-9.4822,-9.4371,-18.3134,-18.6177
Mn,Mn-06Sep2000,-8.9861,-8.6584,-18.3635,-18.3788
Fe,Fe-06Sep2000,-8.2481,-8.0949,-18.0782,-18.0536
Co,Co-02Aug2007,-7.0337,-6.8812,-17.2659,-17.2014
Ni,Ni-02Aug2007,-5.4724,-5.34,-16.1255,-16.1454
Cu,Cu-22Jun2005,-3.7134,-3.5343,-15.1198,-14.9503
Zn,Zn-06Sep2000,-1.1099,-0.9194,-13.49,-13.3345
Ga,Ga-08Apr2002,-2.9351,-2.5611,-16.3682,-16.011
Ge,Ge-05Jan2001,-4.4651,-4.4254,-19.0071,-18.7937
As,As-22Sep2009,-4.6899,-4.7376,-20.2111,-20.2152
Se,Se-06Sep2000,-3.4832,-3.4266,-20.0638,-20.0929
Br,Br-06Sep2000,-1.6414,-1.3819,-19.355,-19.2694
Rb,Rb_sv-06Sep2000,-0.9491,-0.77,-20.7517,-20.6913
Sr,Sr_sv-07Sep2000,-1.6337,-1.4882,-22.2737,-22.4417
Y,Y_sv-25May2007,-6.4126,-6.2324,-27.7855,-28.0016
Zr,Zr_sv-04Jan2005,-8.5169,-8.4722,-30.6918,-30.8318
Nb,Nb_pv-08Apr2002,-10.1006,-9.9951,-33.1182,-33.0271
Mo,Mo-08Apr2002,-10.9641,-11.0039,-34.8958,-34.8311
Tc,Tc-04Feb2005,-10.3755,-10.9092,-35.0392,-35.1166
Ru,Ru-04Feb2005,-9.1457,-9.6062,-34.7907,-35.1258
Rh,Rh-04Feb2005,-7.2679,-7.6084,-33.8057,-34.2264
Pd,Pd-04Jan2005,-5.2237,-5.3549,-32.8113,-32.938
Ag,Ag-02Apr2005,-2.6891,-2.7974,-31.344,-31.3392
Cd,Cd-06Sep2000,-0.7519,-0.6637,-30.3901,-30.3553
In,In-08Apr2002,-2.5415,-2.3539,-33.2886,-33.1914
Sn,Sn-08Apr2002,-3.8113,-3.809,-35.8466,-35.6902
Sb,Sb-06Sep2000,-4.1483,-4.1901,-37.2769,-37.2308
Te,Te-08Apr2002,-3.1427,-3.0572,-37.2535,-37.2199
I,I-08Apr2002,-1.5219,-1.3975,-36.6956,-36.6575
Cs,Cs_sv-08Apr2002,-0.8719,-0.6129,-37.8269,-37.7148
Ba,Ba_sv-06Sep2000,-1.9044,-1.4308,-39.5354,-39.3925
Hf,Hf-20Jan2003,-9.9584,-9.4823,-62.7871,-62.52
Ta,Ta-17Jan2003,-11.8404,-11.792,-66.6356,-66.5574
W,W-08Apr2002,-13.03,-13.1639,-69.8947,-69.7927
Os,Os-17Jan2003,-11.2778,-11.5785,-71.8618,-71.7186
Ir,Ir-06Sep2000,-8.8701,-9.3523,-71.3084,-71.6126
Pt,Pt-04Feb2005,-6.1273,-6.4935,-70.2852,-70.7523
Au,Au-04Oct2007,-3.197,-3.4344,-69.1668,-69.4684
Hg,Hg-06Sep2000,-0.1816,-0.2777,-68.1176,-68.0417
Tl,Tl-08Apr2002,-2.222,-2.5433,-72.3107,-72.486
Pb,Pb-08Apr2002,-3.5907,-3.8622,-75.7522,-75.9191
Bi,Bi-08Apr2002,-3.8967,-4.2276,-78.53,-78.5524
